Date,IndividualLong,IndividualShort,EntityLong,EntityShort,Total,AllShorts,AllLong,AllIndividual,AllEntity,RatioIndividualPos,RatioEntityPos,RatioEntityShort,RatioEntityLong,RatioIndividualShort,RatioIndividualLong,Open,High,Low,Close,Adj Close,Volume
2013-01-17,599394,184267,789062,1204189,2776912,1388456,1388456,783661,1993251,0.2822059179405037,0.7177940820594964,0.4336431979119252,0.2841508841475711,0.06635680208807482,0.21584911585242889,1.4,1.4675,1.4,1.45875,1.387204,2469600
2013-01-18,633184,177581,785474,1241077,2837316,1418658,1418658,810765,2026551,0.2857506883265734,0.7142493116734265,0.4374123291166722,0.2768369825567543,0.06258767088332777,0.22316301744324565,1.39875,1.426667,1.342917,1.39375,1.325392,657600
2013-01-22,671284,156100,795722,1310906,2934012,1467006,1467006,827384,2106628,0.2819974833095434,0.7180025166904567,0.44679640028738804,0.2712061164030686,0.053203599712611946,0.22879388359693142,1.402917,1.402917,1.367083,1.38375,1.315883,576000
2013-01-23,661308,156823,819941,1324426,2962498,1481249,1481249,818131,2144367,0.2761625493080502,0.7238374506919498,0.44706393050729487,0.27677352018465495,0.05293606949270514,0.22322647981534502,1.386667,1.4,1.378333,1.395,1.326581,3844800
2013-01-24,680589,162120,829034,1347503,3019246,1509623,1509623,842709,2176537,0.27911240091069095,0.7208875990893091,0.4463044746933506,0.27458312439595844,0.05369552530664941,0.22541687560404153,1.384583,1.401667,1.377917,1.378333,1.310732,4017600
2013-01-25,673211,198176,836794,1311829,3020010,1510005,1510005,871387,2148623,0.28853778629872084,0.7114622137012792,0.43437902523501576,0.27708318846626334,0.06562097476498423,0.22291681153373663,1.375417,1.410417,1.375417,1.398333,1.32975,840000
2013-01-28,611694,215051,874522,1271165,2972432,1486216,1486216,826745,2145687,0.2781375654682765,0.7218624345317235,0.4276514988400071,0.2942109356917164,0.07234850115999289,0.2057890643082836,1.415,1.420833,1.40375,1.413333,1.344015,213600
2013-01-29,621630,182817,870494,1309307,2984248,1492124,1492124,804447,2179801,0.26956439277164634,0.7304356072283537,0.4387393406982262,0.29169626653012753,0.061260659301773844,0.20830373346987247,1.403333,1.407917,1.392083,1.404167,1.335299,153600
2013-01-30,670136,194738,877456,1352854,3095184,1547592,1547592,864874,2230310,0.2794257142709448,0.7205742857290552,0.4370835465678293,0.28349073916122597,0.06291645343217075,0.21650926083877403,1.405417,1.425,1.405417,1.409583,1.340449,57600
2013-01-31,643414,148170,876439,1371683,3039706,1519853,1519853,791584,2248122,0.26041465852289664,0.7395853414771034,0.451255154281368,0.2883301871957354,0.048744845718631996,0.2116698128042646,1.413333,1.41875,1.394583,1.394583,1.326185,57600
2013-02-01,648604,148573,899653,1399684,3096514,1548257,1548257,797177,2299337,0.2574433701898328,0.7425566298101671,0.45201927070247383,0.29053735910769335,0.047980729297526184,0.20946264089230665,1.41875,1.447083,1.41875,1.445833,1.374921,523200
2013-02-04,641263,133489,887297,1395071,3057120,1528560,1528560,774752,2282368,0.25342544617156015,0.7465745538284398,0.4563350473648401,0.29023950646359975,0.04366495263515989,0.20976049353640028,1.435,1.452083,1.41,1.41125,1.342034,290400
2013-02-05,613518,142799,881855,1352574,2990746,1495373,1495373,756317,2234429,0.25288573486347554,0.7471142651365245,0.4522530499079494,0.29486121522857506,0.04774695009205061,0.20513878477142491,1.43875,1.456667,1.426667,1.44625,1.375317,499200
2013-02-06,639309,141580,875098,1372827,3028814,1514407,1514407,780889,2247925,0.2578200576199133,0.7421799423800868,0.45325563075183883,0.2889243116282479,0.04674436924816116,0.2110756883717521,1.440417,1.444167,1.436667,1.444167,1.373337,38400
2013-02-07,656083,131596,858686,1383173,3029538,1514769,1514769,787679,2241859,0.2599997095266671,0.7400002904733329,0.45656235373182313,0.28343793674150974,0.043437646268176866,0.21656206325849023,1.437083,1.437083,1.394583,1.419583,1.349958,168000
2013-02-08,651646,124765,843582,1370463,2990456,1495228,1495228,776411,2214045,0.2596296350790649,0.7403703649209351,0.45827893806162,0.2820914268593151,0.04172106193837997,0.2179085731406849,1.445833,1.465833,1.445833,1.460417,1.38879,657600
2013-02-11,698376,110508,804692,1392560,3006136,1503068,1503068,808884,2197252,0.2690776465203171,0.7309223534796829,0.463239188113911,0.26768316536577186,0.036760811886088984,0.23231683463422811,1.455417,1.466667,1.453333,1.465,1.393148,100800
2013-02-12,661930,131860,827287,1357357,2978434,1489217,1489217,793790,2184644,0.2665125364537203,0.7334874635462797,0.45572841298481015,0.27775905056146954,0.044271587015189864,0.22224094943853046,1.452917,1.477917,1.452917,1.474167,1.401865,187200
2013-02-13,648764,133403,831680,1347041,2960888,1480444,1480444,782167,2178721,0.26416635820064793,0.7358336417993521,0.45494493543828746,0.28088870636106467,0.045055064561712564,0.21911129363893533,1.479167,1.494167,1.466667,1.477917,1.405431,340800
2013-02-14,669626,125389,839446,1383683,3018144,1509072,1509072,795015,2223129,0.26341188492000384,0.7365881150799962,0.45845493124251196,0.27813318383748425,0.04154506875748805,0.22186681616251577,1.474167,1.508333,1.474167,1.504583,1.430789,369600
2013-02-15,668870,121569,841176,1388477,3020092,1510046,1510046,790439,2229653,0.26172679507776586,0.7382732049222341,0.4597465905012165,0.2785266144210176,0.040253409498783484,0.22147338557898236,1.51125,1.51125,1.474167,1.486667,1.413753,285600
2013-02-19,654014,118114,836291,1372191,2980610,1490305,1490305,772128,2208482,0.2590503286240065,0.7409496713759935,0.46037254119123266,0.2805771301847608,0.039627458808767335,0.21942286981523917,1.50875,1.514167,1.498333,1.510833,1.436733,453600
2013-02-20,665562,126112,839491,1378941,3010106,1505053,1505053,791674,2218432,0.2630053559575643,0.7369946440424358,0.45810380099571246,0.2788908430467233,0.04189619900428756,0.22110915695327674,1.500417,1.507917,1.441667,1.441667,1.370959,650400
2013-02-21,709009,159335,913487,1463161,3244992,1622496,1622496,868344,2376648,0.26759511271522396,0.732404887284776,0.450898184032503,0.28150670325227306,0.04910181596749699,0.21849329674772697,1.429583,1.43,1.3625,1.38,1.312317,981600
2013-02-22,706144,131451,948444,1523137,3309176,1654588,1654588,837595,2471581,0.25311285951548057,0.7468871404845194,0.4602768181565441,0.2866103223279753,0.03972318184345589,0.21338967767202469,1.395,1.436667,1.395,1.43,1.359864,691200
2013-02-25,752977,165425,952834,1540386,3411622,1705811,1705811,918402,2493220,0.2691980530082172,0.7308019469917828,0.4515113339051044,0.2792906130866784,0.048488666094895626,0.2207093869133216,1.459583,1.462083,1.387917,1.390833,1.322618,456000
2013-02-26,667610,161412,923114,1429312,3181448,1590724,1590724,829022,2352426,0.2605800880605309,0.7394199119394691,0.4492646115856679,0.29015530035380116,0.05073538841433209,0.20984469964619884,1.400417,1.42375,1.400417,1.415833,1.346392,513600
2013-02-27,691648,163192,886675,1415131,3156646,1578323,1578323,854840,2301806,0.2708064192183729,0.7291935807816271,0.4483020902565571,0.28089149052506995,0.051697909743442884,0.21910850947493005,1.418333,1.470833,1.418333,1.461667,1.389978,417600
2013-02-28,695434,164055,929576,1460955,3250020,1625010,1625010,859489,2390531,0.26445652642137585,0.7355434735786242,0.44952184909631326,0.2860216244823109,0.05047815090368675,0.2139783755176891,1.47375,1.477917,1.452083,1.452083,1.380864,74400
2013-03-01,735396,165181,914507,1484722,3299806,1649903,1649903,900577,2399229,0.2729181654921532,0.7270818345078468,0.4499422087237856,0.27713962578406126,0.05005779127621442,0.22286037421593877,1.42375,1.461667,1.404583,1.446667,1.375714,261600
2013-03-04,728089,168324,858721,1418486,3173620,1586810,1586810,896413,2277207,0.2824575721100825,0.7175424278899175,0.44696151398087985,0.2705809139090376,0.053038486019120125,0.22941908609096237,1.443333,1.4525,1.438333,1.45125,1.380072,312000
2013-03-05,684451,172336,832921,1345036,3034744,1517372,1517372,856787,2177957,0.28232595566545315,0.7176740443345468,0.4432123434464324,0.27446170088811445,0.056787656553567614,0.22553829911188555,1.4525,1.503333,1.4525,1.497083,1.423657,597600
2013-03-06,665789,205365,827162,1287586,2985902,1492951,1492951,871154,2114748,0.2917557240659606,0.7082442759340394,0.43122178825694885,0.27702248767709053,0.06877821174305118,0.22297751232290947,1.514583,1.515417,1.5,1.512917,1.438715,576000
2013-03-07,649810,222472,852111,1279449,3003842,1501921,1501921,872282,2131560,0.2903887754415845,0.7096112245584155,0.42593751602114893,0.2836737085372666,0.07406248397885108,0.21632629146273338,1.52,1.532917,1.515417,1.523333,1.44862,688800
2013-03-11,626181,201158,814507,1239530,2881376,1440688,1440688,827339,2054037,0.2871333002010151,0.712866699798985,0.43018682740468445,0.2826798723943005,0.06981317259531557,0.2173201276056995,1.507917,1.53375,1.49875,1.53,1.45496,228000
2013-03-12,655556,200381,830251,1285426,2971614,1485807,1485807,855937,2115677,0.28803774649062763,0.7119622535093724,0.4325682945362352,0.2793939589731372,0.06743170546376481,0.22060604102686285,1.541667,1.54375,1.518333,1.523333,1.44862,64800
2013-03-13,618165,185343,856815,1289637,2949960,1474980,1474980,803508,2146452,0.2723792864988,0.7276207135012001,0.4371710124883049,0.2904497010128951,0.06282898751169508,0.20955029898710492,1.5275,1.552083,1.527083,1.547083,1.471205,249600
2013-03-14,635012,196868,890897,1329041,3051818,1525909,1525909,831880,2219938,0.2725850624119787,0.7274149375880213,0.4354915660108172,0.29192337157720416,0.06450843398918284,0.20807662842279587,1.549583,1.580833,1.549583,1.558333,1.481904,340800
